Timestamp,Image,Drone_Lat,Drone_Lon,Drone_Alt,Centroid_X,Centroid_Y,Est_Lat,Est_Lon
2025-02-06_07-35-17,data/2025-02-06/2025-02-06_07-35-17.jpg,45.5113052,-73.6225767,5.164,517,696,45.51132497676585,-73.62258780845845
2025-02-06_07-35-18,data/2025-02-06/2025-02-06_07-35-18.jpg,45.5113052,-73.6225798,5.269,433,693,45.511327312632915,-73.62259222049771
2025-02-06_07-35-23,data/2025-02-06/2025-02-06_07-35-23.jpg,45.5113083,-73.622584,5.212,740,705,45.51132831065193,-73.62259535483261
2025-02-06_07-35-24,data/2025-02-06/2025-02-06_07-35-24.jpg,45.5113108,-73.6225783,5.247,663,567,45.51132248061552,-73.62258492804085
2025-02-06_07-35-24,data/2025-02-06/2025-02-06_07-35-24.jpg,45.5113115,-73.6225761,5.279,712,681,45.51133006245257,-73.62258663306753
2025-02-06_07-35-25,data/2025-02-06/2025-02-06_07-35-25.jpg,45.5113116,-73.6225774,5.129,708,671,45.51132905112835,-73.62258730748003
2025-02-06_07-35-25,data/2025-02-06/2025-02-06_07-35-25.jpg,45.5113135,-73.6225747,5.217,695,673,45.51133121977787,-73.62258476000008
2025-02-06_07-35-26,data/2025-02-06/2025-02-06_07-35-26.jpg,45.5113144,-73.6225707,5.293,693,664,45.51133185689641,-73.62258061075522
2025-02-06_07-35-26,data/2025-02-06/2025-02-06_07-35-26.jpg,45.5113147,-73.6225696,5.252,688,657,45.51133158767443,-73.62257918759236
2025-02-06_07-35-27,data/2025-02-06/2025-02-06_07-35-27.jpg,45.5113158,-73.622568,5.239,687,652,45.511332361715034,-73.62257739777051
2025-02-06_07-35-27,data/2025-02-06/2025-02-06_07-35-27.jpg,45.5113153,-73.6225672,5.18,685,635,45.51133072730768,-73.62257595850227
2025-02-06_07-35-28,data/2025-02-06/2025-02-06_07-35-28.jpg,45.5113154,-73.6225683,5.147,679,610,45.51132931890425,-73.62257620214038
2025-02-06_07-35-28,data/2025-02-06/2025-02-06_07-35-28.jpg,45.5113157,-73.6225692,5.099,677,611,45.51132952663246,-73.62257704975521
2025-02-06_07-35-29,data/2025-02-06/2025-02-06_07-35-29.jpg,45.511316,-73.6225697,5.134,672,617,45.51133021082798,-73.62257776787355
2025-02-06_07-35-30,data/2025-02-06/2025-02-06_07-35-30.jpg,45.5113159,-73.6225688,5.11,671,616,45.51132998451275,-73.62257679210782
2025-02-06_07-35-30,data/2025-02-06/2025-02-06_07-35-30.jpg,45.511317,-73.6225668,5.091,673,615,45.51133099167518,-73.62257473942827
2025-02-06_07-35-31,data/2025-02-06/2025-02-06_07-35-31.jpg,45.5113168,-73.6225649,5.193,675,613,45.51133097670256,-73.62257294442011
