Timestamp,Image,Drone_Lat,Drone_Lon,Drone_Alt,Centroid_X,Centroid_Y,Est_Lat,Est_Lon
2025-02-08_19-41-42,data/2025-02-08/2025-02-08_19-41-42.jpg,0.0,0.0,-1.446,635,355,-4.62302534849422e-08,1.0813008111717508e-07
2025-02-08_19-41-43,data/2025-02-08/2025-02-08_19-41-43.jpg,0.0,0.0,-1.363,635,355,-4.443473700582867e-08,1.0155724895455004e-07
2025-02-08_19-41-43,data/2025-02-08/2025-02-08_19-41-43.jpg,0.0,0.0,-1.424,635,355,-4.696343364086197e-08,1.0586760933704626e-07
2025-02-08_19-41-44,data/2025-02-08/2025-02-08_19-41-44.jpg,0.0,0.0,-1.402,635,355,-4.67318518660823e-08,1.0401442552396663e-07
2025-02-08_19-41-44,data/2025-02-08/2025-02-08_19-41-44.jpg,0.0,0.0,-1.307,635,355,-4.4007820463310725e-08,9.676900517950952e-08
2025-02-08_19-41-45,data/2025-02-08/2025-02-08_19-41-45.jpg,0.0,0.0,-1.496,635,355,-5.08771047413108e-08,1.1053419225923125e-07
2025-02-08_19-41-45,data/2025-02-08/2025-02-08_19-41-45.jpg,0.0,0.0,-1.296,635,355,-4.451235698784169e-08,9.555723991327772e-08
2025-02-08_19-41-46,data/2025-02-08/2025-02-08_19-41-46.jpg,0.0,0.0,-1.09,635,355,-3.778976934765563e-08,8.020533651459558e-08
2025-02-08_19-41-47,data/2025-02-08/2025-02-08_19-41-47.jpg,0.0,0.0,-1.179,635,355,-4.125605351513668e-08,8.657622891217346e-08
2025-02-08_19-41-47,data/2025-02-08/2025-02-08_19-41-47.jpg,0.0,0.0,-1.535,635,355,-5.418821358477684e-08,1.1249351500652204e-07
2025-02-08_19-41-48,data/2025-02-08/2025-02-08_19-41-48.jpg,0.0,0.0,-1.135,635,355,-4.0461674773518485e-08,8.29907714409599e-08
2025-02-08_19-41-48,data/2025-02-08/2025-02-08_19-41-48.jpg,0.0,0.0,-1.418,635,355,-5.098714789689179e-08,1.0347238824775786e-07
2025-02-08_19-41-49,data/2025-02-08/2025-02-08_19-41-49.jpg,0.0,0.0,-1.352,635,355,-4.9029588267088345e-08,9.845318956325466e-08
2025-02-08_19-42-48,data/2025-02-08/2025-02-08_19-42-48.jpg,0.0,0.0,-1.788,635,354,1.6152839310170172e-07,0.0
2025-02-08_19-42-49,data/2025-02-08/2025-02-08_19-42-49.jpg,0.0,0.0,-0.065,635,354,-2.9679529612479635e-09,5.032935157769611e-09
2025-02-08_19-42-50,data/2025-02-08/2025-02-08_19-42-50.jpg,0.0,0.0,-0.07,635,354,-3.1924468223179627e-09,5.42229916550267e-09
2025-02-08_19-42-50,data/2025-02-08/2025-02-08_19-42-50.jpg,0.0,0.0,0.171,635,354,-7.817303329028088e-09,1.3235073206622986e-08
2025-02-08_19-42-51,data/2025-02-08/2025-02-08_19-42-51.jpg,0.0,0.0,0.448,635,355,3.664202417381024e-08,0.0
2025-02-08_19-42-51,data/2025-02-08/2025-02-08_19-42-51.jpg,0.0,0.0,0.363,635,355,2.9689854408689995e-08,0.0
2025-02-08_19-42-52,data/2025-02-08/2025-02-08_19-42-52.jpg,0.0,0.0,0.187,635,355,1.5294773250311828e-08,-2.651571286693231e-12
2025-02-08_19-42-52,data/2025-02-08/2025-02-08_19-42-52.jpg,0.0,0.0,0.526,635,355,-2.1983771107464824e-08,3.6733205143905595e-08
2025-02-08_19-42-53,data/2025-02-08/2025-02-08_19-42-53.jpg,0.0,0.0,0.171,635,355,-7.201296858969223e-09,1.1909446466375093e-08
2025-02-08_19-42-53,data/2025-02-08/2025-02-08_19-42-53.jpg,0.0,0.0,0.228,635,355,-9.61567614867696e-09,1.5870932913283532e-08
2025-02-08_19-42-54,data/2025-02-08/2025-02-08_19-42-54.jpg,0.0,0.0,0.358,635,355,-1.5124562425896965e-08,2.490443032987101e-08
2025-02-08_19-42-54,data/2025-02-08/2025-02-08_19-42-54.jpg,0.0,0.0,0.418,635,355,-1.76542956870609e-08,2.9081418272489856e-08
2025-02-08_19-42-55,data/2025-02-08/2025-02-08_19-42-55.jpg,0.0,0.0,0.219,635,355,-9.249499414991238e-09,1.5236436846113107e-08
2025-02-08_19-42-56,data/2025-02-08/2025-02-08_19-42-56.jpg,0.0,0.0,0.219,635,355,-9.25485321530228e-09,1.5233228847582478e-08
2025-02-08_19-42-56,data/2025-02-08/2025-02-08_19-42-56.jpg,0.0,0.0,0.219,635,355,-9.246822092161146e-09,1.5238040149210247e-08
2025-02-08_19-42-57,data/2025-02-08/2025-02-08_19-42-57.jpg,0.0,0.0,0.133,635,355,-5.6123975251480726e-09,9.256098781988971e-09
2025-02-08_19-42-57,data/2025-02-08/2025-02-08_19-42-57.jpg,0.0,0.0,0.081,635,355,-3.413122871931902e-09,5.640133661948488e-09
2025-02-08_19-42-58,data/2025-02-08/2025-02-08_19-42-58.jpg,0.0,0.0,-0.13,635,355,-5.476260908185931e-09,9.053015898337438e-09
2025-02-08_19-42-58,data/2025-02-08/2025-02-08_19-42-58.jpg,0.0,0.0,-0.184,635,355,-7.737502494202933e-09,1.2821554905225602e-08
2025-02-08_19-42-59,data/2025-02-08/2025-02-08_19-42-59.jpg,0.0,0.0,-0.135,635,355,-5.678624769476305e-09,9.406134759196443e-09
2025-02-08_19-42-59,data/2025-02-08/2025-02-08_19-42-59.jpg,0.0,0.0,-0.135,635,355,-5.66870519175779e-09,9.412036433498684e-09
2025-02-08_19-43-00,data/2025-02-08/2025-02-08_19-43-00.jpg,0.0,0.0,-0.016,635,355,-6.718465412453678e-10,1.1155006143405847e-09
2025-02-08_19-43-00,data/2025-02-08/2025-02-08_19-43-00.jpg,0.0,0.0,-0.19,635,355,-7.968865557653675e-09,1.3252099099004346e-08
2025-02-08_19-43-01,data/2025-02-08/2025-02-08_19-43-01.jpg,0.0,0.0,0.01,635,355,-4.1904625888690405e-10,6.976969388564717e-10
2025-02-08_19-43-01,data/2025-02-08/2025-02-08_19-43-01.jpg,0.0,0.0,-0.076,635,355,-3.1819560389017694e-09,5.3041523773070754e-09
2025-02-08_19-43-02,data/2025-02-08/2025-02-08_19-43-02.jpg,0.0,0.0,-0.114,635,355,-4.767340965787639e-09,7.95953645679074e-09
2025-02-08_19-43-03,data/2025-02-08/2025-02-08_19-43-03.jpg,0.0,0.0,-0.027,635,355,-1.128444524527662e-09,1.8855447507327968e-09
2025-02-08_19-43-03,data/2025-02-08/2025-02-08_19-43-03.jpg,0.0,0.0,-0.119,635,355,-4.969133452781866e-09,8.31294945531921e-09
2025-02-08_19-43-04,data/2025-02-08/2025-02-08_19-43-04.jpg,0.0,0.0,-0.271,635,355,-1.1299625686670871e-08,1.894097259106728e-08
2025-02-08_19-43-04,data/2025-02-08/2025-02-08_19-43-04.jpg,0.0,0.0,-0.168,635,355,-6.992551097167853e-09,1.1749285151878976e-08
2025-02-08_19-43-05,data/2025-02-08/2025-02-08_19-43-05.jpg,0.0,0.0,-0.293,635,355,-1.2191741394398576e-08,2.0493426722351577e-08
2025-02-08_19-43-05,data/2025-02-08/2025-02-08_19-43-05.jpg,0.0,0.0,-0.059,635,355,-2.4520913261610596e-09,4.128364147449271e-09
2025-02-08_19-43-06,data/2025-02-08/2025-02-08_19-43-06.jpg,0.0,0.0,-0.157,635,355,-6.525056579784516e-09,1.0985646968636198e-08
2025-02-08_19-43-06,data/2025-02-08/2025-02-08_19-43-06.jpg,0.0,0.0,-0.097,635,355,-4.026633030312488e-09,6.790104503441099e-09
2025-02-08_19-43-07,data/2025-02-08/2025-02-08_19-43-07.jpg,0.0,0.0,-0.016,635,355,-6.637932564997245e-10,1.1202474623448415e-09
2025-02-08_19-43-07,data/2025-02-08/2025-02-08_19-43-07.jpg,0.0,0.0,-0.173,635,355,-7.173007531875935e-09,1.2115163514888535e-08
2025-02-08_19-43-08,data/2025-02-08/2025-02-08_19-43-08.jpg,0.0,0.0,-0.081,635,355,-3.358460173884107e-09,5.67241759945648e-09
2025-02-08_19-43-08,data/2025-02-08/2025-02-08_19-43-08.jpg,0.0,0.0,-0.152,635,355,-6.296683742537164e-09,1.0647813054230008e-08
2025-02-08_19-43-09,data/2025-02-08/2025-02-08_19-43-09.jpg,0.0,0.0,-0.211,635,355,-8.740791247864088e-09,1.4780845752911391e-08
2025-02-08_19-43-09,data/2025-02-08/2025-02-08_19-43-09.jpg,0.0,0.0,-0.13,635,355,-5.382121038380305e-09,9.1085489101476e-09
2025-02-08_19-43-10,data/2025-02-08/2025-02-08_19-43-10.jpg,0.0,0.0,-0.206,635,355,-8.531127776163972e-09,1.4432067959358037e-08
2025-02-08_19-43-11,data/2025-02-08/2025-02-08_19-43-11.jpg,0.0,0.0,-0.043,635,355,-1.7812986903230134e-09,3.0122102719203313e-09
2025-02-08_19-43-11,data/2025-02-08/2025-02-08_19-43-11.jpg,0.0,0.0,0.029,635,355,-1.201697910470187e-09,2.0312823476436345e-09
2025-02-08_19-43-12,data/2025-02-08/2025-02-08_19-43-12.jpg,0.0,0.0,-0.124,635,355,-5.141346439032463e-09,8.683701016451899e-09
2025-02-08_19-43-12,data/2025-02-08/2025-02-08_19-43-12.jpg,0.0,0.0,0.07,635,355,-2.9032342877001298e-09,4.901586040275221e-09
2025-02-08_19-43-13,data/2025-02-08/2025-02-08_19-43-13.jpg,0.0,0.0,-0.124,635,355,-5.145923152255321e-09,8.681025844819746e-09
2025-02-08_19-43-13,data/2025-02-08/2025-02-08_19-43-13.jpg,0.0,0.0,-0.2,635,355,-8.302336144974204e-09,1.4000215471012576e-08
2025-02-08_19-43-14,data/2025-02-08/2025-02-08_19-43-14.jpg,0.0,0.0,-0.217,635,355,-9.013372295714793e-09,1.5187109513161455e-08
2025-02-08_19-43-14,data/2025-02-08/2025-02-08_19-43-14.jpg,0.0,0.0,-0.238,635,355,-9.885634130783966e-09,1.6656829788628695e-08
2025-02-08_19-43-15,data/2025-02-08/2025-02-08_19-43-15.jpg,0.0,0.0,-0.092,635,355,-3.823600034013856e-09,6.437449179073441e-09
2025-02-08_19-43-15,data/2025-02-08/2025-02-08_19-43-15.jpg,0.0,0.0,-0.304,635,355,-1.2638241878296559e-08,2.1269380501446415e-08
2025-02-08_19-43-16,data/2025-02-08/2025-02-08_19-43-16.jpg,0.0,0.0,-0.347,635,355,-1.4430153560041191e-08,2.4275377094201097e-08
2025-02-08_19-43-16,data/2025-02-08/2025-02-08_19-43-16.jpg,0.0,0.0,-0.298,635,355,-1.2396129068084148e-08,2.0845293268552557e-08
